Product Title,Brand / Seller,Price,Primary Material,High-Resolution Image URL,Product Link
Reed Solid Wood Dining Chair Set Of 2 In Finish Amber Walnut And Colour Macadamia Brown Hopsack Weave,Urban Ladder,14999.0,Solid Wood,https://cdn.swadeshonline.com/v2/patient-paper-41f385/swad-p/wrkr/products/pictures/item/free/450x0/0mdl42tZ9pw-01.jpg,https://www.urbanladder.com/product/reed-solid-wood-dining-chair-set-of-2-finish-amber-walnut-fabric-macadamia-brown-hopsack-weave-8340458
Emry Rectangular Statuario Ceramic 4 Seater Dining Table In Honey Finish,Urban Ladder,24999.0,Ceramic,https://cdn.swadeshonline.com/v2/patient-paper-41f385/swad-p/wrkr/products/pictures/item/free/450x0/IlbG7FoQLx-a.jpg,https://www.urbanladder.com/product/emry-rectangular-statuario-ceramic-4-seater-dining-table-in-honey-finish-9300854
Atlas Solid Wood 6 Seater Compact Dining Table In Honey Finish,Urban Ladder,17999.0,Solid Wood,https://cdn.swadeshonline.com/v2/patient-paper-41f385/swad-p/wrkr/products/pictures/item/free/450x0/WwLQaPmvCe-00.jpg,https://www.urbanladder.com/product/atlas-solid-wood-6-seater-compact-dining-table-in-honey-finish-8340179
Clarke Solid Wood Dining Chair Set of 2 in Danish Walnut Finish with Olive Leatherette,Urban Ladder,13999.0,Solid Wood,https://cdn.swadeshonline.com/v2/patient-paper-41f385/swad-p/wrkr/products/pictures/item/free/450x0/n21h-9Rz8l-a.jpg,https://www.urbanladder.com/product/clarke-solid-wood-dining-chair-set-of-2-in-danish-walnut-finish-with-olive-leatherette-9264240
Vanalen Glass 6 To 8 Seater Dining Table In Dark Walnut Finish,Urban Ladder,14999.0,Glass,https://cdn.swadeshonline.com/v2/patient-paper-41f385/swad-p/wrkr/products/pictures/item/free/450x0/LIWe_uy1xn-0.jpg,https://www.urbanladder.com/product/vanalen-glass-6-to-8-seater-dining-table-in-dark-walnut-finish-7519573
Murphy 6 Seater Dining Table In Dark Walnut Finish,Urban Ladder,16999.0,N/A,https://cdn.swadeshonline.com/v2/patient-paper-41f385/swad-p/wrkr/products/pictures/item/free/450x0/7dcOsLVH851-00.jpg,https://www.urbanladder.com/product/murphy-6-seater-dining-table-in-dark-walnut-finish-7519544
Paloma 6 Seater Dining Table in Spanish Ceramic Finish,Urban Ladder,99999.0,Ceramic,https://cdn.swadeshonline.com/v2/patient-paper-41f385/swad-p/wrkr/products/pictures/item/free/450x0/pwgzYitlKw8-00.jpg,https://www.urbanladder.com/product/paloma-6-seater-spanish-ceramic-dining-table-8115829
Ingrid Leatherette Dining Chair Set Of 2 In White Colour,Urban Ladder,9999.0,Leatherette,https://cdn.swadeshonline.com/v2/patient-paper-41f385/swad-p/wrkr/products/pictures/item/free/450x0/kYEvlM7BhuD-01.jpg,https://www.urbanladder.com/product/ingrid-leatherette-dining-chair-set-of-2-in-finish-7519401
Gabriele Onyx Composite Solid Teak Wood 6 Seater Pedestal Dining Table In Clear Teak Finish,Urban Ladder,79999.0,Teak Wood,https://cdn.swadeshonline.com/v2/patient-paper-41f385/swad-p/wrkr/products/pictures/item/free/450x0/jziOpTkjUm-00.jpg,https://www.urbanladder.com/product/gabriele-onex-6-seater-pedestal-dining-table-finish-clear-teak-8115833
Arabia Solid Wood 6 Seater Dining Table In Teak Finish,Urban Ladder,20499.0,Solid Wood,https://cdn.swadeshonline.com/v2/patient-paper-41f385/swad-p/wrkr/products/pictures/item/free/450x0/DqYOULeoQc-00.jpg,https://www.urbanladder.com/product/arabia-solid-wood-6-seater-dining-table-7519569
Adria Carrara White Quartz 6 Seater Dining Table In New Walnut Finish,Urban Ladder,49999.0,N/A,https://cdn.swadeshonline.com/v2/patient-paper-41f385/swad-p/wrkr/products/pictures/item/free/450x0/ycNpMQx8vHx-00.jpg,https://www.urbanladder.com/product/adria-carrara-white-quartz-6-seater-dining-table-in-new-walnut-finish-8503651
Calix Swivel Metal Dining Chair Set of 2 in Beige Fabric,Urban Ladder,21999.0,Metal,https://cdn.swadeshonline.com/v2/patient-paper-41f385/swad-p/wrkr/products/pictures/item/free/450x0/YDbrqTufNH-LP.jpg,https://www.urbanladder.com/product/calix-swivel-metal-dining-chair-set-of-2-in-beige-fabric-9264229
Persica Solid Wood Dining Chair Set Of 2 In Dark Walnut Finish,Urban Ladder,13999.0,Solid Wood,https://cdn.swadeshonline.com/v2/patient-paper-41f385/swad-p/wrkr/products/pictures/item/free/450x0/bDEc5m5m2c-01.jpg,https://www.urbanladder.com/product/persica-solid-wood-dining-chair-set-of-2-in-dark-walnut-finish-7519022
